Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
publication year,research paper,"the research paper emerges as a key component. It's essentially a document presenting original research findings, carrying characteristics such as a publication year,",,publication year,
abstract,research paper,"the research paper emerges as a key component. It's essentially a document presenting original research findings, carrying characteristics such as a publication year, an abstract,",,abstract,
title,research paper,"the research paper emerges as a key component. It's essentially a document presenting original research findings, carrying characteristics such as a publication year, an abstract, and a title.",,title,
conference,research paper,"Each research paper is closely tied to a conference where it is presented,",conference,,presented at
authors,research paper,authors are individuals who have significantly contributed to the creation of a research paper.,author,,written by
name,person,Each person is identified by a name,,name,
email address,person,"and an email address, ensuring clear and direct communication within the academic community",,email,
authors,author,authors are individuals who have significantly contributed to the creation of a research paper,,,
affiliation,author,"Each author has an affiliation, often an academic institution",,affiliation,
corresponding author,author,one of them is designated as the corresponding author,research paper,,has corresponding author
year,conference,a conference is a pivotal element in academic discourse. It holds a specific year and location,,year,
location,conference,a conference is a pivotal element in academic discourse. It holds a specific year and location,,location,
name,conference,The conference name is a unique identification of the conference in the scientific community,,name,
submission date,submission,"Submissions of research papers have their own unique lifecycle, marked by a submission date",,submission date,
status,submission,"a status indicating where it stands in the review process (like under review, accepted, or rejected)",,status,
conference,submission,and a connection to the conference it's submitted to,conference,,submitted to
is resubmission,submission,"Submissions can be resubmissions, indicating an ongoing process of refinement and re-evaluation",,,is resubmission of
research paper,submission,The submission acts as a bridge between the research paper and the conference,research paper,,has submission
expertise,reviewer,"A reviewer, responsible for evaluating the quality and relevance of research paper submissions, brings their expertise to the table.",,expertise,
reviews,reviewer,Reviewers write reviews for submissions.,review,,writes
person,reviewer,"Parallel to authors are reviewers, a subgroup of the broader category of persons involved in the conference reviewing process.",person,,*
