Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
has,farmer,farmer,name,"A farmer is an individual who engages in the activity of agriculture, growing and harvesting crops. Each farmer can be identified by a name, which uniquely identifies the farmer and is used to refer to them in various documentation and statistical reporting.",,name,
has,farmer,farmer,age,"A farmer's age is also recorded, mainly for statistical and reporting purposes.",,age,
owns,farmer,farmer,machinery,"Farmers own and use various pieces of machinery, reflecting their capacity for mechanized farming, and they are responsible for specific planting activities which are crucial for management and accountability.",machinery,,*
uses,farmer,farmer,machinery,"Farmers own and use various pieces of machinery, reflecting their capacity for mechanized farming, and they are responsible for specific planting activities which are crucial for management and accountability.",machinery,,*
conducts,farmer,farmer,planting,"In other words, we also say that the farmers conduct planting to point to this responsibility.",planting,,conducts planting
farms on,farmer,farmer,field,"A farmer farms on one or more fields to grow crops, which includes not only growing the crops but also other farming activities such as soil preparation.",field,,farms on
performs,farmer,farmer,harvest,"Each harvest is connected to the farmer who performed the harvest and who is also responsible for evaluating the quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",harvest,,harvested by
evaluates,farmer,farmer,harvest,"Each harvest is connected to the farmer who performed the harvest and who is also responsible for evaluating the quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",harvest,,*
grown on,crop,crop,field,"A farmer farms on one or more fields to grow crops, which includes not only growing the crops but also other farming activities such as soil preparation.",field,,*
planted during,crop,crop,planting,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the planting process.",planting,,involves crop
harvested into,crop,crop,harvest,A specific planting activity can result into the subsequent harvest it produces.,harvest,,*
produces,crop,crop,harvest,"Harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality, representing the final output of the agricultural cycle.",harvest,,*
uses,machinery,farmer,machinery,...the various types of machinery they use...,farmer,,*
owns,machinery,farmer,machinery,... Farmers own and use various pieces of machinery...,farmer,,*
used for,machinery,machinery,activity,Machinery used for field preparation... Machinery used for planting... Machinery used for harvesting...,,,-used for field preparation;used for planting;used for harvesting
has,machinery,machinery,model,"...the model of the machinery, which affects its functionality and suitability for specific tasks.",,model,
has,machinery,machinery,manufacturing year,"...the year the machinery was manufactured, indicating its age and potential modernity in technology.",,year of manufacturing,
produces,harvest,planting,harvest,A specific planting activity can result into the subsequent harvest it produces.,planting,,results in harvest
performed by,harvest,harvest,farmer,"Each harvest is connected to the farmer who performed the harvest and who is also responsible for evaluating the quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",farmer,,harvested by
farms on,field,farmer,field,"a farmer farms on one or more fields to grow crops, which includes not only growing the crops but also other farming activities such as soil preparation.",farmer,,farms on
has,field,field,planting,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the planting process.",planting,,performed on
has,field,field,crop,"This involves specific crops, with each planting activity associated with a particular crop and occurring on a specific field where the planting is performed.",crop,,*
has,field,field,harvest,A specific planting activity can result into the subsequent harvest it produces.,harvest,,*
prepares,field,machinery,field,"Machinery used for field preparation indicates that certain types of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting.",machinery,,*
involves,planting,planting,crop,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the planting process. This involves specific crops, with each planting activity associated with a particular crop and occurring on a specific field where the planting is performed.",crop,,involves crop
occurs on,planting,planting,field,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the planting process. This involves specific crops, with each planting activity associated with a particular crop and occurring on a specific field where the planting is performed.",field,,performed on
results in,planting,planting,harvest,A specific planting activity can result into the subsequent harvest it produces.,harvest,,results in harvest
uses,planting,planting,machinery,Machinery used for planting refers to the employment of specific pieces of machinery in the planting process.,machinery,,used for planting
