Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
is linked to,aircraft,aircraft,aircraft model,"Aircraft signify the final manufactured product in this domain. Each aircraft is uniquely identified by a serial number, linked to a specific model, indicating the design it follows, ...",aircraft model,,designed as
consists of,aircraft,aircraft,part,"...and marked with the manufacturing date. The aircraft is also defined by the parts it consists of, highlighting the composite nature of the final product.",part,,consists of
is purchased by,aircraft,aircraft,customer,"Customers represent the clients who purchase the finished aircraft. They are linked to aircraft through the purchases, which signifies the acquisition of aircraft by these clients.",customer,,purchases
is linked to,part,part,part model,"Every part is linked to its specific model, indicating the design it follows, and is identified by a serial number and a brief description.",part model,,designed as part model
consists of,part,aircraft,part,"The aircraft is also defined by the parts it consists of, highlighting the composite nature of the final product.",aircraft,,consists of
encompasses,part,supply,part,"Supplies encompass the parts required for aircraft manufacturing, provided by a supplier.",supply,,includes
is a,supplier,supplier,party,"Suppliers are entities that provide parts for aircraft manufacturing. They are a subclass of parties, indicating their involvement in the broader aircraft manufacturing process.",party,,*
supply,supplier,supplier,supply,They maintain a relationship where they supply supplies consisting of various parts necessary for the construction of aircrafts.,supply,,supplies
consists of,supply,supply,part,"Supplies encompass the parts required for aircraft manufacturing, provided by a supplier. Each supply is dedicated to the manufacturing of a specific aircraft and includes specific parts necessary for this process.",part,,includes
supply,supply,supplier,supply,"Suppliers are entities that provide parts for aircraft manufacturing. They are a subclass of parties, indicating their involvement in the broader aircraft manufacturing process. They maintain a relationship where they supply supplies consiting of various parts necessary for the construction of aircrafts.",supplier,,supplies
dedicated to,supply,supply,aircraft,Each supply is dedicated to the manufacturing of a specific aircraft...,aircraft,,supplied for
purchases,customer,customer,aircraft,"Customers represent the clients who purchase the finished aircraft. They are linked to aircraft through the purchases, which signifies the acquisition of aircraft by these clients.",aircraft,,purchases
is a,customer,customer,party,"The notion of party is introduced to represent a generic subject involved in the aircraft manufacturing process. Each party is uniquely identified by a party code, used for business communication and documentation purposes. It is an umbrella term encompassing various entities like customers and suppliers.",party,,*
incorporates,aircraft model,aircraft model,part model,"Aircraft models are critical in this domain, representing different configurations of aircraft. Each aircraft model is described in detail and assigned a unique model code. Furthermore, aircraft models incorporate various part models in their design, indicating the integration of different components necessary for constructing a specific aircraft model.",part model,,incorporates
is linked to,aircraft model,aircraft,aircraft model,"Each aircraft is uniquely identified by a serial number, linked to a specific model, indicating the design it follows...",aircraft,,designed as
is linked to,part model,part,part model,"Every part is linked to its specific model, indicating the design it follows, ...",part,,designed as part model
incorporates,part model,aircraft model,part model,"...aircraft models incorporate various part models in their design, indicating the integration of different components necessary for constructing a specific aircraft model.",aircraft model,,incorporates
