Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
activity,farmer,"an individual who engages in the activity of agriculture, growing and harvesting crops",,,
name,farmer,"Each farmer can be identified by a name, which uniquely identifies the farmer and is used to refer to them in various documentation and statistical reporting",,name,
age,farmer,"A farmer's age is also recorded, mainly for statistical and reporting purposes",,age,
machinery,farmer,"Farmers own and use various pieces of machinery, reflecting their capacity for mechanized farming",machinery,,*
planting activities,farmer,they are responsible for specific planting activities which are crucial for management and accountability,planting,,conducts planting
planting,farmer,"In other words, we also say that the farmers conduct planting to point to this responsibility",planting,,conducts planting
fields,farmer,"a farmer farms on one or more fields to grow crops, which includes not only growing the crops but also other farming activities such as soil preparation",field,,farms on
harvest,farmer,The specific date or time period when the harvest was collected is crucial for maximizing yield and ensuring the best quality of the harvested product,harvest,,harvested by
type,crop,"crops are plants grown in large amounts and cultivated by farmers for profit or subsistence, such as cereals, oil seeds, vegetables, and fruits.",-cereal;seed plant;vegetable;fruit,,*
category,crop,"Each crop can be a fruit, vegetable, seed plant, or cereal, with each category having specific characteristics and uses.",-cereal;seed plant;vegetable;fruit,,*
fruit type,crop,"Fruits are plants cultivated for producing their seed-associated fleshy structures that are typically sweet or sour and edible in the raw state such as apples, bananas, grapes, lemons, oranges, and strawberries.",fruit,,*
vegetable type,crop,Vegetables are plants cultivated for their parts consumable by humans or other animals as food.,vegetable,,*
seed type,crop,"Seed plants are grown for oil production from seeds, significant for both food and industrial uses.",seed plant,,*
cereal type,crop,Cereals are plants cultivated for their edible grain.,cereal,,*
cultivated variety,crop,"A plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics is a key characterization of the crop.",,cultivated variety,
type,machinery,mechanical tools and equipment used in farming,,*,
model,machinery,"Specific types of machinery include tractors, planters, harvestors, and sprayers",-tractor;planter;harvester;sprayer,,*
model,machinery,"We also need to identify the model of the machinery, which affects its functionality and suitability for specific tasks",,model,
manufacturing year,machinery,"The year the machinery was manufactured, indicating its age and potential modernity in technology",,year of manufacturing,
production,harvest,"Harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality, representing the final output of the agricultural cycle.",,,
quantity,harvest,"The quantity of the harvest is measured in kilograms, and the quality may include factors like size, ripeness, nutritional value, and absence of pests or diseases.",,quantity,
date,harvest,The specific date or time period when the harvest was collected is crucial for maximizing yield and ensuring the best quality of the harvested product.,,harvest date,
farmer,harvest,"Each harvest is connected to the farmer who performed the harvest and who is also responsible for evaluating the quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",farmer,,harvested by
total quantity,harvest,The total quantity of the harvest is crucial for determining the productivity and success of the crop.,,quantity,
quality,harvest,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases.",,quality,
size,field,"Fields are areas of land used for growing crops,  and can vary in size, typically measured in hectares.",,size,
soil type,field,"The soil type, soil pH, and the field's topography are critical for understanding how to manage each field.",,soil type,
soil ph,field,"The soil type, soil pH, and the field's topography are critical for understanding how to manage each field.",,soil ph,
topography,field,"The soil type, soil pH, and the field's topography are critical for understanding how to manage each field.",,topography,
irrigation availability,field,"Fields also have specific features like irrigation availability and a defined location, which can include specific GPS coordinates.",,irrigation availability,
location,field,"Fields also have specific features like irrigation availability and a defined location, which can include specific GPS coordinates.",,location,
fenced,field,Fields can be but does not have to be surrounded by a fence.,,*,
planting process,planting,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the planting process.",,,
crop,planting,"This involves specific crops, with each planting activity associated with a particular crop and occurring on a specific field where the planting is performed.",crop,,involves crop
planting date,planting,The exact date or period when the crop was planted is critical for tracking crop growth stages and scheduling subsequent farming activities.,,planting date,
field,planting,The knowledge of the field where the planting is performed on is important as an indication of the location of agricultural operations and facilitating field-specific crop management.,field,,performed on
harvest,planting,A specific planting activity can result into the subsequent harvest it produces.,harvest,,results in harvest
