Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
role,farmer,A farmer is an individual engaged in agriculture,,*,
name,farmer,"name that is used to refer to the farmer from various documentation, statistical reporting, etc.",,name,
machinery,farmer,Farmers own machinery,machinery,,*
cultivated variety,crop,cultivated variety of a crop is a critical classification,,cultivated variety,
vegetables,crop,"vegetables are subcategories of crops, with vegetables including plants cultivated for their parts consumable by humans or other animals as food",vegetable,,*
fruits,crop,"fruits are subcategories of crops, with fruits cultivated for their seed-associated fleshy structures that typically are sweet or sour and edible in the raw state, such as apples, bananas, grapes, lemons, oranges, and strawberries.",fruit,,*
seed plants,crop,"seed plants, another subclass, are grown for oil production from seeds, like sunflower and soybean, significant for both food and industrial uses",seed plant,,*
cereal,crop,We also distinguish cereal as a plant cultivated for its edible grain,cereal,,*
planting machinery,crop,It is important to know that a specific piece of machinery is used for planting. This links machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops,machinery,,*
harvesting machinery,crop,"Similarly, a piece of machinery can be used for harvesting. This is specific to machinery like combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle",machinery,,*
field preparation machinery,crop,"Finally, a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting. This process might include plowing, tilling, and conditioning the soil to create an optimal planting environment",,,
fields,crop,Fields are areas of land used for growing crops that can but does not have to be surrounded by a fence and are described by several characteristics,field,,*
irrigation,crop,"The availability of irrigation systems and the type of irrigation used (e.g., drip, sprinkler, or flood) is vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops",,,
geographical location,crop,"The geographical location of the field, which can include specific GPS coordinates or a general description (e.g., near a certain landmark), helps in locating the field for logistical purposes and for understanding its geographical and climatic context",,,
soil's ph and type,crop,"The soil's pH and type affect crop health and dictate the types of amendments needed for optimal growth. In particular, pH indicates the acidity or alkalinity of the soil, which is crucial for managing soil health and fertility",,,
size of the field,crop,"The size of the field, which measures the total area of the field, typically in hectares, is fundamental for crop distribution planning",,,
topography of the field,crop,"The topography of the field describes the physical layout of the land, including its flatness, slope, and elevation. It influences water drainage, erosion risk, and the suitability of various agricultural machinery",,,
task,machinery,"Machinery encompasses mechanical tools and equipment crucial for tasks such as plowing, seeding, and harvesting",,*,
type,machinery,"Tractors, as a subclass of machinery, are versatile and essential for multiple farming tasks, from soil preparation to crop maintenance",tractor,,*
function,machinery,"Planters are specifically designed to plant seeds efficiently, crucial for optimal crop distribution and growth",planter,,*
use,machinery,Harvesters is a specialized machinery that is used for harvesting,harvester,,*
application,machinery,"Sprayers are used for the precise application of liquids like pesticides, vital for protecting crops and enhancing growth",sprayer,,*
year of manufacturing and model,machinery,"The year of manufacturing and model of the machinery indicate its age and potential modernity in technology, and influencing its functionality and suitability for specific tasks",,+year of manufacturing;model,
used for planting,machinery,It is important to know that a specific piece of machinery is used for planting,planting,,used for planting
used for harvesting,machinery,"Similarly, a piece of machinery can be used for harvesting",harvest,,used for harvesting
used to prepare the field for planting,machinery,"a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting",planting,,used for field preparation
roles,harvest,A farmer is an individual engaged in agriculture,,,
name,harvest,name that is used to refer to the farmer,,,
machinery,harvest,Farmers own machinery,,,
name,field,"an individual engaged in agriculture, growing and harvesting crops, and is identified uniquely by a name",,,
machinery,field,"machinery, which reflects their capacity for mechanized farming",,,
planting activities,field,"planting activities, crucial for management and accountability",,,
