Generated association,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches association
purchases,aircraft,customer,aircraft,"Customers represent the clients who purchase the finished aircraft. They are linked to aircraft through the purchases, which signifies the acquisition of aircraft by these clients.",customer,,purchases
linked to,part,part,part model,"Every part is linked to its specific model, indicating the design it follows, and is identified by a serial number and a brief description. This linkage to the specific model ensures consistency and standardization in the manufacturing process.",part model,,designed as part model
denotes,part,part model,part,Part models denote the design models for individual parts used in aircraft. These models are uniquely identified by a model number and accompanied by a brief description. The part model's design and specifications play a significant role in the overall makeup of the aircraft.,part model,,designed as part model
provides,supplier,supplier,part,"Suppliers are entities that provide parts for aircraft manufacturing. They are a subclass of parties, indicating their involvement in the broader aircraft manufacturing process. They maintain a relationship where they supply supplies consiting of various parts necessary for the construction of aircrafts.",part,,*
provides,supplier,supplier,parts,Suppliers are entities that provide parts for aircraft manufacturing.,part,,*
includes,supply,supply,part,"Supplies encompass the parts required for aircraft manufacturing, provided by a supplier. Each supply is dedicated to the manufacturing of a specific aircraft and includes specific parts necessary for this process.",part,,includes
supply,supply,supplier,supply,"Suppliers are entities that provide parts for aircraft manufacturing. They are a subclass of parties, indicating their involvement in the broader aircraft manufacturing process. They maintain a relationship where they supply supplies consiting of various parts necessary for the construction of aircrafts.",supplier,,supplies
purchases,customer,customer,aircraft,"Customers represent the clients who purchase the finished aircraft. They are linked to aircraft through the purchases, which signifies the acquisition of aircraft by these clients.",aircraft,,purchases
identified by,customer,customer,name,"Every customer is identified by a name, which is a unique designation of each client in this context.",,customer name,
incorporated in,aircraft model,part model,aircraft model,aircraft models incorporate various part models in their design,part model,,incorporates
purchased,aircraft model,customer,aircraft model,Customers represent the clients who purchase the finished aircraft,customer,,purchases
linked to,aircraft model,aircraft,aircraft model,Each aircraft is linked to a specific model,aircraft model,,designed as
described in detail,aircraft model,aircraft model,aircraft model,"Aircraft models are critical in this domain, representing different configurations of aircraft. Each aircraft model is described in detail",,,
assigned,aircraft model,aircraft model,model code,Each aircraft model is described in detail and assigned a unique model code,,aircraft model code,
incorporates,part model,aircraft model,part model,"Aircraft models incorporate various part models in their design, indicating the integration of different components necessary for constructing a specific aircraft model.",aircraft model,,incorporates
linked to,part model,part,part model,"Every part is linked to its specific model, indicating the design it follows, and is identified by a serial number and a brief description.",part,,designed as part model
