Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
customer name,aircraft,"has a unique aspect, their customer name",,,
serial number,aircraft,Every aircraft is unique and can be identified by its serial number,,aircraft serial number,
manufacturing date,aircraft,manufacturing date,,manufacturing date,
aircraft model,aircraft,designed as a specific aircraft model,aircraft model,,designed as
model code,aircraft,with a unique model code,,*,
description,aircraft,and a detailed description,,,
parts,aircraft,made up of multiple parts,part,,consists of
part serial number,aircraft,with a serial number,,,
part description,aircraft,and a brief description,,,
part models,aircraft,designed as part models,part model,,*
part model number,aircraft,with a unique model number,,,
incorporates,aircraft,incorporates various part models in its design,,,
includes,aircraft,indicates that the supply includes specific parts,,,
supplied for,aircraft,supplied for relationship shows that each supply is dedicated to the manufacturing of a specific aircraft,supply,,supplied for
serial number,part,"that uniquely identifies the part,",,part serial number,
description,part,a brief description to understand what it is.,,part description,
part model,part,"designed as part models, linking each part to its specific design model",part model,,designed as part model
serial number,part,"Every part has a serial number, making it unique,",,part serial number,
model number,part,a unique model number,,,
manufacturing date,part,the manufacturing date tells us when the aircraft was made,,,
serial number,part,Every aircraft is unique and can be identified by its serial number,,,
parts,part,the aircraft is made up of multiple parts,aircraft,,consists of
component,part,an individual component used in its construction,,,
incorporates,part,indicating that an aircraft model incorporates various part models in its design,,,
includes,part,the supply includes specific parts,supply,,includes
supplied for,part,each supply is dedicated to the manufacturing of a specific aircraft,,,
customer name,customer,"Each customer has a unique aspect, their customer name",,customer name,
aircraft model,aircraft model,"aircraft model, indicating the design it follows",,,
model code,aircraft model,with a unique model code,,aircraft model code,
description,aircraft model,a detailed description,,aircraft model description,
serial number,aircraft model,Every aircraft is unique and can be identified by its serial number,,,
manufacturing date,aircraft model,manufacturing date,,,
part models,aircraft model,incorporates various part models in its design,part model,,incorporates
includes,aircraft model,The includes relationship indicates that the supply includes specific parts,,,
supplied for,aircraft model,The supplied for relationship shows that each supply is dedicated to the manufacturing of a specific aircraft,,,
description,part model,with a unique model number and a brief description to explain what it is,,part model description,
part models,part model,linking each part to its specific design model,part,,designed as part model
serial number,part model,"Every part has a serial number, making it unique",,,
supplies,part model,a range of different parts essential for building aircraft,,,
model code,part model,"representing different models of aircraft, each with a unique model code",,,
design,part model,indicating the design it follows,,,
aircraft model,part model,With a specific aircraft model,,,
purchases,part model,a finished aircraft for their use,,,
information map,part model,a specific way to understand and organize information,,,
users,part model,the ones who use the final product,,,
suppliers,part model,providers of parts for aircraft manufacturing,,,
party,part model,a generic subject involved in the aircraft manufacturing process,,,
party code,part model,to identify each party,,,
customers,part model,the clients who purchase the finished aircraft,,,
aircraft,part model,the final manufactured product,,,
customer name,part model,tells us exactly who the customer is,,,
manufacturing date,part model,when the aircraft was made,,,
unique identifier,part model,With a unique serial number,,,
party,party,a generic subject involved in the aircraft manufacturing process,,,
party code,party,"to identify each party, we use the party code",,party code,
serial number,party,Every aircraft is unique and can be identified by its serial number,,,
manufacturing date,party,the manufacturing date tells us when the aircraft was made,,,
aircraft model,party,Every aircraft is designed as a specific aircraft model,,,
model code,party,each with a unique model code,,,
description,party,a detailed description,,,
parts,party,The aircraft is made up of multiple parts,,,
part serial number,party,Every part has a serial number,,,
part description,party,a brief description to understand what it is,,,
part model,party,A part model represents the design model for individual parts,,,
model number,party,with a unique model number,,,
incorporates,party,incorporates various part models in its design,,,
includes,party,the supply includes specific parts,,,
supplied for,party,each supply is dedicated to the manufacturing of a specific aircraft,,,
