Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches association
activities,farmer,"an individual who engages in the activity of agriculture, growing and harvesting crops",,,
name,farmer,named the other employees in the company use to address the employee,,name,
age,farmer,"A farmer's age is also recorded, mainly for statistical and reporting purposes",,age,
machinery,farmer,"Farmers own and use various pieces of machinery, reflecting their capacity for mechanized farming",machinery,,*
model,farmer,"We also need to identify the model of the machinery, which affects its functionality and suitability for specific tasks",,,
year manufactured,farmer,"The year the machinery was manufactured, indicating its age and potential modernity in technology",,,
fields,farmer,Farmers farm on one or more fields to grow crops,field,,farms on
field size,farmer,"Fields can vary in size, typically measured in hectares",,,
soil type,farmer,The soil type affects water retention and nutrient availability,,,
soil ph,farmer,Soil pH influences crop health and productivity,,,
topography,farmer,Topography describes the physical layout of the land and influences water drainage and erosion risk,,,
irrigation availability,farmer,Irrigation availability informs whether the field has access to irrigation systems and the type of irrigation used,,,
crops,farmer,Crops are plants grown in large amounts and cultivated by farmers for profit or subsistence,,,
cultivated variety,farmer,"A plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics",,,
planting,farmer,Planting represents the agricultural activity of planting crops in a specific field during a specific year,planting,,conducts planting
harvest,farmer,"Harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality",farmer,,harvested by
field preparation machinery,farmer,Machinery used for field preparation,,,
planting machinery,farmer,Machinery used for planting,,,
harvesting machinery,farmer,Machinery used for harvesting,,,
agriculture activities and elements,crop,activities and elements involved in agriculture,,,
farmer,crop,individuals such as farmers,,,
name,crop,"a name, which uniquely identifies the farmer",,,
age,crop,farmer's age,,,
machinery,crop,specific pieces of machinery,,,
type,crop,"tractor, planter, harvester, sprayer",,,
model,crop,model of the machinery,,,
manufacture year,crop,year the machinery was manufactured,,,
field,crop,fields of land used for growing crops,field,,*
size,crop,"size, typically measured in hectares",,,
soil properties,crop,"soil type, soil pH, and the field's topography",,,
irrigation,crop,irrigation availability,,,
crop type,crop,"cereals, oil seeds, vegetables, and fruits",-cereal;seed plant;vegetable;fruit,,*
cultivar,crop,cultivated variety,,cultivated variety,
planting,crop,planting crops in a specific field during a specific year,planting,,involves crop
harvest,crop,harvested product,harvest,,*
field preparation machinery,crop,machinery used for field preparation,,,
planting machinery,crop,machinery used for planting,,,
harvesting machinery,crop,machinery used for harvesting,,,
type,machinery,"machinery encompasses mechanical tools and equipment used in farming,",,*,
function,machinery,"crucial for tasks such as plowing, seeding, spraying, and harvesting.",,*,
model,machinery,"Specific types of machinery include tractors, planters, harvestors, and sprayers.",,model,
manufacture year,machinery,"The year the machinery was manufactured, indicating its age and potential modernity in technology.",,year of manufacturing,
field preparation,machinery,"Machinery used for field preparation indicates that certain types of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting.",planting,,used for field preparation
planting,machinery,Machinery used for planting refers to the employment of specific pieces of machinery in the planting process.,planting,,used for planting
harvesting,machinery,Machinery used for harvesting connects a piece of machinery to its use in the harvesting process.,harvest,,used for harvesting
activities,harvest,"activities (planting, harvesting, field preparation)",,,
farmer,harvest,individuals such as farmers,,,
role,harvest,specific role,,,
name,harvest,"name, which uniquely identifies the farmer",,,
age,harvest,farmer's age,,,
machinery,harvest,various pieces of machinery,,,
model,harvest,model of the machinery,,,
manufacture year,harvest,year the machinery was manufactured,,,
field,harvest,fields of land used for growing crops,,,
size,harvest,"size of the field, typically measured in hectares",,,
soil type,harvest,soil type,,,
soil ph,harvest,soil pH,,,
topography,harvest,topography,,,
irrigation availability,harvest,irrigation availability,,,
crop,harvest,crops,,,
category,harvest,"fruit, vegetable, seed plant, or cereal",,,
cultivated variety,harvest,cultivated variety,,,
planting,harvest,planting,,,
harvest,harvest,harvest,,,
quantity,harvest,quantity of the harvest,,quantity,
quality,harvest,quality of the harvest,,quality,
harvest date,harvest,date or time period when the harvest was collected,,harvest date,
harvesting farmer,harvest,connected to the farmer who performed the harvest,farmer,,harvested by
activities,field,"activities (This includes individuals such as farmers and the various types of machinery they use, alongside the agricultural processes from planting seeds to harvesting the produce.)",,,
farmer,field,"an individual who engages in the activity of agriculture, growing and harvesting crops.",farmer,,farms on
name,field,"identified by a name, which uniquely identifies the farmer",,,
age,field,a farmer's age,,,
machinery,field,various pieces of machinery,,,
capacity for mechanized farming,field,reflecting their capacity for mechanized farming,,,
planting activities,field,responsible for specific planting activities,,,
fields,field,farms on one or more fields,farmer,,farms on
type,field,"specific types of machinery include tractors, planters, harvestors, and sprayers",,,
versatile,field,a tractor is a versatile piece of machinery,,,
planter,field,A planter is machinery designed to plant seeds,,,
harvester,field,A harvester includes machinery that combines harvesting tasks,,,
sprayer,field,A sprayer is used for the precise application of liquids,,,
model,field,the model of the machinery,,,
year of manufacture,field,The year the machinery was manufactured,,,
land,field,areas of land used for growing crops,,,
size,field,"can vary in size, typically measured in hectares",,size,
"soil type, soil ph, topography",field,"the soil type, soil pH, and the field's topography",,+soil type;soil ph;topography,
soil ph,field,Soil pH influences crop health and productivity,,soil ph,
topography,field,Topography describes the physical layout of the land,,topography,
irrigation availability,field,Fields also have specific features like irrigation availability,,irrigation availability,
fence,field,Fields can be but does not have to be surrounded by a fence,,*,
crops,field,Crops are plants grown in large amounts and cultivated by farmers,crop,,*
"fruit, vegetable, seed plant, cereal",field,"Each crop can be a fruit, vegetable, seed plant, or cereal",,,
fruits,field,Fruits are plants cultivated for producing their seed-associated fleshy structures,fruit,,:*
vegetables,field,Vegetables are plants cultivated for their parts consumable by humans,vegetable,,:*
seed plants,field,Seed plants are grown for oil production from seeds,seed plant,,:*
cereals,field,Cereals are plants cultivated for their edible grain,cereal,,:*
cultivated variety,field,cultivated variety,,*,
planting,field,Planting represents the agricultural activity of planting crops,planting,,performed on
specific crops,field,This involves specific crops,crop,,*
date or period of planting,field,The exact date or period when the crop was planted,,,
crop involved in planting,field,The crop involved in planting,,,
field of planting,field,The knowledge of the field where the planting is performed,planting,,performed on
planting activity and subsequent harvest,field,A specific planting activity can result into the subsequent harvest,,,
date or time period of harvest,field,The specific date or time period when the harvest was collected,,,
harvest and farmer,field,Each harvest is connected to the farmer who performed the harvest,,,
quantity of harvest,field,The total quantity of the harvest,,*,
quality of harvest,field,"The quality of the harvest may include factors like size, ripeness, nutritional value, and absence of pests or diseases",,*,
role of machinery in agriculture,field,"In the agricultural domain, machinery plays a pivotal role in the efficiency and effectiveness of farming",,,
activities involving machinery,field,"Three specific types of activities involve the use of machinery: field preparation, planting, and harvesting",,,
machinery for field preparation,field,Machinery used for field preparation,machinery,,*
machinery for planting,field,Machinery used for planting,machinery,,*
machinery for harvesting,field,Machinery used for harvesting,machinery,,*
activities and elements involved in agriculture,planting,"In this domain, we explore the activities and elements involved in agriculture",,,
roles in agriculture,planting,the roles and tools that contribute to planting and harvesting crops,,,
farmers,planting,individuals such as farmers,farmer,,conducts planting
role,planting,"A farmer is an individual who engages in the activity of agriculture, growing and harvesting crops.",,,
name of the farmer,planting,A farmer is identified by a name,,,
age of the farmer,planting,A farmer's age is also recorded,,,
machinery,planting,Farmers own and use various pieces of machinery,,,
model of the machinery,planting,We also need to identify the model of the machinery,,,
year of manufacture of the machinery,planting,The year the machinery was manufactured,,,
fields,planting,Farmers farm on one or more fields,,,
field size,planting,Fields can vary in size,,,
soil type,planting,The soil type affects water retention and nutrient availability,,,
soil ph,planting,Soil pH influences crop health and productivity,,,
topography,planting,Topography describes the physical layout of the land,,,
irrigation availability,planting,Irrigation availability informs whether the field has access to irrigation systems,,,
crops,planting,Crops are plants grown in large amounts and cultivated by farmers for profit or subsistence,crop,,involves crop
cultivated variety,planting,"A plant grouping within a single botanical taxon of the lowest known rank, defined by the reproducible expression of its distinguishing and other genetic characteristics",,*,
planting,planting,Planting represents the agricultural activity of planting crops in a specific field during a specific year,,,
harvest,planting,Harvest is the production obtained from crops,harvest,,results in harvest
quantity of the harvest,planting,The quantity of the harvest is measured in kilograms,,*,
quality of the harvest,planting,"The quality may include factors like size, ripeness, nutritional value, and absence of pests or diseases",,*,
field preparation,planting,Machinery used for field preparation,machinery,,used for field preparation
planting with machinery,planting,Machinery used for planting,machinery,,used for planting
harvesting with machinery,planting,Machinery used for harvesting,machinery,,*
