Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
engages in,farmer,farmer,activity,"At the core is a farmer, an individual who engages in the activity of agriculture, growing and harvesting crops.",,,*
identified by,farmer,farmer,name,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting.",,name,
responsible for,farmer,farmer,activity,"Farmers are responsible for various activities on the farm, including the crucial processes of planting and harvesting.",,,*
farms on,farmer,farmer,field,A farmer farms on one or more fields to grow crops on it.,field,,farms on
owns,farmer,farmer,machinery,"To reduce manual work, the farmer owns machinery.",machinery,,*
captured for,farmer,farmer,age,"Additionally, the age of the farmer is captured in years and is utilized mainly for statistical and reporting purposes.",,age,
performed by,farmer,farmer,harvest,Each harvest is connected to the farmer who performed the harvest,harvest,,harvested by
related to,farmer,farmer,field,A missing piece in the domain description is how a farmer is related to the field.,field,,farms on
plants in,farmer,farmer,field,The planting process is described as the agricultural activity of planting crops in a specific field during a specific year.,field,,*
cultivated by,farmer,farmer,crop,"Crop is plants grown in large amounts and cultivated by farmers for profit or subsistence, including cereals, oil seeds, vegetables, and fruits.",crop,,*
plants,crop,farmer,crop,"This individual is uniquely identified by a name, used to refer to the farmer from various documentation and statistical reporting. The planting process is described as the agricultural activity of planting crops in a specific field during a specific year. It captures the details of the planting process. This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process.",farmer,,*
obtained from,crop,harvest,crop,"The harvest is the production that is obtained from crops. It represents the final output of the agricultural cycle and is quantified and evaluated in terms of quantity and quality. The total quantity of the harvest, measured in kilograms, is crucial for determining the productivity and success of the crop.",harvest,,*
influences,machinery,topography,machinery,"The physical layout of the land, including its flatness, slope, and elevation, known as the topography, influences water drainage, erosion risk, and the suitability of various agricultural machinery.",,,*
plays role in,machinery,machinery,agricultural tasks,Machinery plays a critical role in the efficient and effective management of agricultural tasks.,,*,
crucial for,machinery,machinery,farming tasks,"It includes mechanical tools and equipment used in farming, crucial for tasks such as plowing, seeding, spraying, and harvesting.",,*,
includes,machinery,machinery,types,"Types of machinery include tractors, planters, harvesters, and sprayers.",-tractor;planter;harvester;sprayer,,*
combines,machinery,machinery,harvesting tasks,"It also includes machinery that combines harvesting tasks such as reaping, threshing, and winnowing into a single operation.",,,*
linked to,machinery,machinery,specific uses,"Various properties link machinery to specific uses, such as field preparation, planting, and harvesting.",,,-used for field preparation;used for planting;used for harvesting
used for,machinery,machinery,preparation,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",field,,used for field preparation
plays role in,machinery,machinery,agricultural planting process,Machinery used for planting plays a pivotal role in the agricultural planting process.,,,
includes,machinery,machinery,harvesting,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",harvest,,used for harvesting
