Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
activity,farmer,"an individual who engages in the activity of agriculture, growing and harvesting crops",,,*
name,farmer,uniquely identified by a name,,name,
name,crop,This individual is uniquely identified by a name,,,
type,crop,Crops are classified into various types,,*,
cultivated variety,crop,Each crop type may have a cultivated variety,,cultivated variety,
harvest,crop,The harvest is the production that is obtained from crops,harvest,,*
harvest date,crop,The specific date or time period when the harvest was collected,,,
farmer,crop,Each harvest is connected to the farmer who performed the harvest,farmer,,harvested by
field,crop,"This activity involves specific crops, and the association is key to understanding the crop variety and its cultivation requirements during the planting process. Each planting activity is performed on a particular field",field,,*
soil type,crop,"The soil type present in the field, such as loamy, sandy, clay, or silt",,*,
soil ph,crop,"The soil pH, indicating the acidity or alkalinity of the soil",,*,
location,crop,The location of the field is also described,,,
irrigation,crop,Fields may have irrigation systems,,*,
type,machinery,"It includes mechanical tools and equipment used in farming, crucial for tasks such as plowing, seeding, spraying, and harvesting.",,*,
sub type,machinery,"Types of machinery include tractors, planters, harvesters, and sprayers.",,*,
manufacturing date,machinery,"The year the machinery was manufactured indicates its age and potential modernity in technology, while the model of the machinery affects its functionality and suitability for specific tasks.",,year of manufacturing,
properties,machinery,"Various properties link machinery to specific uses, such as field preparation, planting, and harvesting.",,,-used for field preparation;used for harvesting;used for planting
functionality,machinery,"Tractors are versatile pieces of machinery essential for multiple farming tasks, from soil preparation to crop maintenance.",,,*
functionality,machinery,"Planters are machinery designed to plant seeds efficiently and accurately, crucial for optimal crop distribution and growth.",,,*
functionality,machinery,Harvesters are especially interesting as they are a specialized machinery that is used for harvesting.,,,*
attachments,machinery,"Machinery used for preparation of the field for the planting includes those machines like tractors equipped with specific attachments, used to prepare the field for planting.",,*,
functionality,machinery,Machinery used for planting plays a pivotal role in the agricultural planting process.,,,*
functionality,machinery,"Machinery used for harvesting includes combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",,,*
owner,machinery,"To reduce manual work, the farmer owns machinery.",farmer,,*
quantity owned,machinery,A farmer can own one or more pieces of machinery.,,*,
capacity for mechanized farming,machinery,"The machinery owned by the farmer reflects the capacity for mechanized farming, which is a significant factor in modern agricultural practices.",,*,
effectiveness,machinery,"Owning such machinery typically enhances a farmer's ability to perform various agricultural tasks more efficiently and effectively, from soil preparation and planting to harvesting and post-harvest processing.",,*,
planting,harvest,agricultural activity of planting crops in a specific field during a specific year,,,
harvest,harvest,the final output of the agricultural cycle,,,
quantity and quality,harvest,quantified and evaluated in terms of quantity and quality,,+quality;quantity,
total quantity,harvest,"total quantity of the harvest, measured in kilograms",,quantity,
collection date,harvest,specific date or time period when the harvest was collected,,harvest date,
quality factors,harvest,"factors like size, ripeness, nutritional value, and absence of pests or diseases",,*,
farmer,harvest,connected to the farmer who performed the harvest,farmer,,harvested by
machinery,harvest,mechanical tools and equipment used in farming,machinery,,used for harvesting
manufacture year,harvest,year the machinery was manufactured,,,
model,harvest,model of the machinery,,,
properties,harvest,properties link machinery to specific uses,,,used for harvesting
harvesting machinery,harvest,machinery used for harvesting,machinery,,used for harvesting
efficient harvesting,harvest,designed to efficiently harvest crops without causing damage,,,
ownership,harvest,ownership of machinery,,,
mechanize operations,harvest,ability to mechanize operations,,,
productivity and crop management,harvest,potential for increased productivity and improved crop management,,,
planting crops,field,of planting crops in a specific field during a specific year,planting,,performed on
details of the planting process,field,captures the details of the planting process,,,
field,field,performed on a particular field,planting,,performed on
location of agricultural operations,field,location of agricultural operations,,location,
field-specific crop management,field,facilitating field-specific crop management,,,
areas of land,field,areas of land used for growing crops,,,
can be surrounded by a fence,field,can be but do not have to be surrounded by a fence,,*,
size,field,"size, typically expressed in hectares",,size,
