Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
party code,aircraft,"a party, whether it's a customer purchasing the final aircraft or a supplier providing essential supplies, is uniquely identified by a party code",,*,
role,aircraft,"In the realm of aircraft manufacturing and commerce, a comprehensive framework outlines various entities and their interactions. They represent the clients who purchase the finished aircraft, thereby driving the entire industry. The essence of this role is not just in the acquisition of aircraft but also in the unique identity each customer holds, embodied in their name",,,
name,aircraft,"In the realm of aircraft manufacturing and commerce, a comprehensive framework outlines various entities and their interactions. They represent the clients who purchase the finished aircraft, thereby driving the entire industry. The essence of this role is not just in the acquisition of aircraft but also in the unique identity each customer holds, embodied in their name",,,
serial number,aircraft,"An aircraft, the culmination of this manufacturing process, is not merely a product but an amalgamation of design, individuality, and functionality. Each aircraft carries a unique serial number",,aircraft serial number,
manufacturing date,aircraft,The manufacturing date of an aircraft is also a crucial piece of information,,manufacturing date,
supply,aircraft,A supplier is recognized as an entity providing parts through supplies essential for constructing an aircraft. This role transcends mere provision; it embodies a symbiotic relationship where the supplier delivers a supply consisting of various parts,aircraft,,supplied for
part model,aircraft,"In the words of a manufacturing engineer, every part used in aircraft construction is not just a component; it's a manifestation of a precise design model, known as a part model, based on which it is designed",part model,,*
model number,aircraft,An aircraft model is distinguished not only by its unique model code but also by a detailed description that encapsulates its design philosophy and specifications,,,
brief description,aircraft,"Each part carries a unique serial number, further emphasizing its individuality within the larger structure of an aircraft, and its brief description",,,
part models,aircraft,"It incorporates various part models, integrating them into a cohesive design that eventually takes shape as a finished aircraft",part model,,*
supplies,part,providing parts through supplies,part,,includes
role,customer,each playing distinct yet integral roles,,,
party code,customer,uniquely identified by a party code,,:party code,
party code,customer,"uniquely identified by a party code, that is a pivotal aspect in business communication",,:party code,
clients,customer,clients who purchase the finished aircraft,aircraft,,purchases
unique identity,customer,"the unique identity each customer holds, embodied in their name",,*,
relationship,customer,relationship between a customer and their purchases,,,purchases
links,customer,these interactions are defined by specific links,,,
design model,aircraft model,based on which it is designed,aircraft model,,designed as
model number,aircraft model,unique model number,,,
description,aircraft model,a brief description that captures its essence,,,
model code,aircraft model,distinguished not only by its unique model code,,aircraft model code,
detailed description,aircraft model,a detailed description that encapsulates its design philosophy and specifications,,aircraft model description,
part models,aircraft model,incorporates various part models,part model,,incorporates
design specifications,aircraft model,adherence to design specifications and standards,,*,
parts,aircraft model,composed of individually identified parts,,,
part model,aircraft model,each following a specific part model,,,
supplies,aircraft model,"supplies, integral to the construction of aircraft",,,
aircraft models,aircraft model,embodiments of distinct aircraft models,aircraft,,designed as
part model,part model,"not just a component; it's a manifestation of a precise design model, known as a part model, based on which it is designed",part,,designed as part model
unique model number,part model,defined not just by its design but also by its unique model number,,part model number,
brief description,part model,", and a brief description that captures its essence",,part model description,
composed of,part model,"Aircraft, as the central product, are composed of individually identified parts, each following a specific part model.",part,,designed as part model
part model,part model,each following a specific part model,part,,designed as part model
involvement,party,involved in this domain,,,*
role,party,distinct yet integral roles,,*,
party code,party,uniquely identified by a party code,,party code,
business communication role,party,pivotal aspect in business communication,,,
identifier in documentation,party,distinctive identifier in documentation,,party code,
industry interactions,party,interactions within the industry,,,
