Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
activities,farmer,"engaged in agriculture, growing and harvesting crops",,,
identifier,farmer,identified uniquely by a name,,name,
machinery,farmer,machinery,machinery,,*
occupation,crop,"engaged in agriculture, growing and harvesting crops, and is identified uniquely by a name",,,
fields,crop,"fields, indicating the location of agricultural operations and facilitating field-specific crop management",,,
age,crop,age of a farmer in years,,,
planting,crop,planting represents the agricultural activity of planting crops in a specific field during a specific year,planting,,involves crop
harvest,crop,"harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality",harvest,,*
total quantity,crop,"total quantity of the harvest, measured in kilograms",,,
area of land,crop,fields are areas of land used for growing crops that can but does not have to be surrounded by a fence,,,
irrigation,crop,availability of irrigation systems and the type of irrigation used,,,
geographical location,crop,geographical location of the field,,,
soil,crop,soil's pH and type,,*,
size,crop,size of the field,,*,
topography,crop,topography of the field,,,
tractors,crop,"tractors, as a subclass of machinery",,,*
planters,crop,planters are specifically designed to plant seeds efficiently,,,*
sprayers,crop,sprayers are used for the precise application of liquids like pesticides,,,*
year and model,crop,year of manufacturing and model of the machinery,,,
planting machinery,crop,machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops,,,*
harvesting machinery,crop,"machinery like combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle",,,*
cultivated variety,crop,cultivated variety of a crop,,cultivated variety,
vegetables and fruits,crop,vegetables and fruits are subcategories of crops,+:vegetable;:fruit,,*
vegetables,crop,vegetables including plants cultivated for their parts consumable by humans or other animals as food,vegetable,,*
farming capacity,machinery,"machinery, which reflects their capacity for mechanized farming, and conduct planting activities, crucial for management and accountability.",,*,
field size,machinery,"size of the field, which measures the total area of the field, typically in hectares, is fundamental for crop distribution planning",,,
topography,machinery,"topography of the field describes the physical layout of the land, including its flatness, slope, and elevation",,*,
tasks,machinery,"machinery encompasses mechanical tools and equipment crucial for tasks such as plowing, seeding, and harvesting",,*,
tractor type,machinery,"Tractors, as a subclass of machinery, are versatile and essential for multiple farming tasks, from soil preparation to crop maintenance",tractor,,*
harvester type,machinery,Harvesters is a specialized machinery that is used for harvesting,harvester,,*
manufacturing year and model,machinery,"The year of manufacturing and model of the machinery indicate its age and potential modernity in technology, and influencing its functionality and suitability for specific tasks",,+year of manufacturing;model,
used for planting,machinery,It is important to know that a specific piece of machinery is used for planting,planting,,used for planting
used for harvesting,machinery,"Similarly, a piece of machinery can be used for harvesting",harvest,,used for harvesting
used for field preparation,machinery,"a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting",field,,used for field preparation
activity,harvest,"engaged in agriculture, growing and harvesting crops, and is identified uniquely by a name",,,
