Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
engaged in,farmer,farmer,agriculture,"A farmer is an individual engaged in agriculture, ...",,,
owns,farmer,farmer,machinery,"farmers own machinery, which reflects their capacity for mechanized farming, and ...",machinery,,*
farms on,farmer,farmer,field,"farmers farm on fields, undertaking not only crop cultivation but also soil preparation.",field,,farms on
has age,farmer,farmer,years,The age of a farmer in years is used mainly for statistical and reporting purposes.,,age,
responsible for,farmer,farmer,harvested crops,"The harvested crops are connected to the farmer responsible for the harvest and who evaluates the harvest's quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",harvest,,harvested by
collects,farmer,farmer,harvest,The specific date or period when the harvest is collected is crucial for maximizing yield and quality.,harvest,,harvested by
plants,crop,farmer,crop,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the process. Planting activities are performed on specific fields where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management, and involve particular crops, highlighting the variety of crops and their cultivation requirements during the planting process.",farmer,,*
harvests,crop,farmer,crop,"A harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality, representing the culmination of the agricultural cycle. The harvested crops are connected to the farmer responsible for the harvest and who evaluates the harvest's quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",farmer,,*
affects,crop,soil,crop,"The soil's pH and type affect crop health and dictate the types of amendments needed for optimal growth. Soil pH can significantly influence crop health and productivity, dictating the types of amendments needed to optimize growing conditions.",,*,
affects,crop,soil,crop,"The type of soil present in the field, such as loamy, sandy, clay, or silt affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,*,
cultivates,crop,farmer,crop,"Crops are plants cultivated in large amounts for profit or subsistence, including cereals, oil seeds, vegetables, and fruits.",farmer,,*
includes,crop,crop,vegetable,"Vegetables and fruits are subcategories of crops, with vegetables including plants cultivated for their parts consumable by humans or other animals as food.",vegetable,,*
owns,machinery,farmer,machinery,"Farmers own machinery, which reflects their capacity for mechanized farming, and conduct planting activities, crucial for management and accountability.",farmer,,*
is a subclass of,machinery,tractor,machinery,"Tractors, as a subclass of machinery, are versatile and essential for multiple farming tasks, from soil preparation to crop maintenance.",tractor,,*
is used for,machinery,machinery,planting,It is important to know that a specific piece of machinery is used for planting. This links machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,planting,,used for planting
is used for,machinery,machinery,harvesting,"Similarly, a piece of machinery can be used for harvesting. This is specific to machinery like combines, harvesters, and other equipment that is primarily utilized to collect and process crops at the end of their growing cycle.",harvest,,used for harvesting
is used to,machinery,machinery,prepare,"Finally, a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting. This process might include plowing, tilling, and conditioning the soil to create an optimal planting environment.",,,used for field preparation
used for,field,farmer,field,"They also farm on fields, undertaking not only crop cultivation but also soil preparation.",farmer,,farms on
performs,planting,farmer,planting,"Farmers own machinery, which reflects their capacity for mechanized farming, and conduct planting activities, crucial for management and accountability.",farmer,,conducts planting
represents,planting,planting,agricultural activity,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the process.",,,
results in,planting,planting,harvest,"Each planting activity results in a harvest, establishing a critical link for tracing agricultural output back to its origins, which aids in analyzing planting strategies, the impact of environmental conditions, and the overall productivity of agricultural practices.",harvest,,results in harvest
performed on,planting,planting,field,"Planting activities are performed on specific fields where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management.",field,,performed on
involves,planting,planting,crop,"Involve particular crops, highlighting the variety of crops and their cultivation requirements during the planting process.",crop,,involves crop
uses,planting,planting,machinery,It is important to know that a specific piece of machinery is used for planting.,machinery,,used for planting
uses,planting,planting,machinery,"A piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting. This process might include plowing, tilling, and conditioning the soil to create an optimal planting environment.",machinery,,used for planting
