Generated relationship,Inputed class,Source class,Target class,Generated original text,Matches class,Matches attribute,Matches relationship
has,farmer,farmer,name,"...and is identified uniquely by a name that is used to refer to the farmer from various documentation, statistical reporting, etc..",,name,
owns,farmer,farmer,machinery,Farmers own machinery...,machinery,,*
farms on,farmer,farmer,field,...and farm on fields...,,,farms on
has,farmer,farmer,age,The age of a farmer in years...,,age,
harvests,farmer,farmer,crop,The harvested crops are connected to the farmer responsible for the harvest...,crop,,*
evaluates,farmer,farmer,harvest,...and who evaluates the harvest's quality and quantity of the harvested crop...,harvest,,*
is planted in,crop,crop,field,"Planting activities are performed on specific fields where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management, and involve particular crops, highlighting the variety of crops and their cultivation requirements during the planting process.",field,,*
is harvested,crop,crop,harvest,"A harvest is the production obtained from crops, quantified and evaluated in terms of quantity and quality, representing the culmination of the agricultural cycle.",harvest,,*
is harvested by,crop,crop,farmer,"The harvested crops are connected to the farmer responsible for the harvest and who evaluates the harvest's quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",farmer,,*
has water needs,crop,crop,irrigation system,"The availability of irrigation systems and the type of irrigation used (e.g., drip, sprinkler, or flood) is vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,*,
is affected by,crop,crop,soil,The soil's pH and type affect crop health and dictate the types of amendments needed for optimal growth.,,*,
can be cultivated in,crop,crop,soil,"The type of soil present in the field, such as loamy, sandy, clay, or silt affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,*,
is a type of,crop,crop,plant,"Crops are plants cultivated in large amounts for profit or subsistence, including cereals, oil seeds, vegetables, and fruits.",,,*
has subcategory,crop,crop,vegetable/fruit,"Vegetables and fruits are subcategories of crops, with vegetables including plants cultivated for their parts consumable by humans or other animals as food.",-vegetable;fruit,,*
owns,machinery,farmer,machinery,"Farmers own machinery, which reflects their capacity for mechanized farming, and conduct planting activities, crucial for management and accountability.",machinery,,*
is a,machinery,machinery,mechanical tool,"Machinery encompasses mechanical tools and equipment crucial for tasks such as plowing, seeding, and harvesting.",,,*
is a,machinery,tractor,machinery,"Tractors, as a subclass of machinery, are versatile and essential for multiple farming tasks, from soil preparation to crop maintenance.",tractor,,*
is a,machinery,harvester,machinery,Harvesters is a specialized machinery that is used for harvesting.,harvester,,*
used for,machinery,machinery,planting,It is important to know that a specific piece of machinery is used for planting.,planting,,used for planting
used for,machinery,machinery,harvesting,"Similarly, a piece of machinery can be used for harvesting.",harvest,,used for harvesting
used for,machinery,machinery,field preparation,"Finally, a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting.",,,*
has,machinery,machinery,year of manufacturing,"The year of manufacturing and model of the machinery indicate its age and potential modernity in technology, and influencing its functionality and suitability for specific tasks.",,year of manufacturing,
has,machinery,machinery,model,"The year of manufacturing and model of the machinery indicate its age and potential modernity in technology, and influencing its functionality and suitability for specific tasks.",,model,
results from,harvest,planting activity,harvest,"Each planting activity results in a harvest, establishing a critical link for tracing agricultural output back to its origins, which aids in analyzing planting strategies, the impact of environmental conditions, and the overall productivity of agricultural practices.",planting,,results in harvest
is harvested by,harvest,harvest,farmer,"The harvested crops are connected to the farmer responsible for the harvest and who evaluates the harvest's quality and quantity of the harvested crop, essential for market transactions and crop performance analysis.",farmer,,harvested by
uses,harvest,harvest,machinery,"Machinery encompasses mechanical tools and equipment crucial for tasks such as plowing, seeding, and harvesting.",machinery,,used for harvesting
uses,harvest,harvest,harvester,Harvesters is a specialized machinery that is used for harvesting.,harvester,,used for harvesting
uses,harvest,harvest,machinery,"Similarly, a piece of machinery can be used for harvesting.",machinery,,used for harvesting
has,field,field,planting,"Planting activities are performed on specific fields where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management, and involve particular crops, highlighting the variety of crops and their cultivation requirements during the planting process.",planting,,performed on
has,field,field,characteristic,Fields are areas of land used for growing crops that can but does not have to be surrounded by a fence and are described by several characteristics.,,*,
has,field,field,irrigation system,"The availability of irrigation systems and the type of irrigation used (e.g., drip, sprinkler, or flood) is vital for planning water usage and can impact crop selection and planting schedules based on the water needs of the crops.",,irrigation availability,
has,field,field,location,"The geographical location of the field, which can include specific GPS coordinates or a general description (e.g., near a certain landmark), helps in locating the field for logistical purposes and for understanding its geographical and climatic context.",,location,
has,field,field,soil,The soil's pH and type affect crop health and dictate the types of amendments needed for optimal growth.,,-soil ph;soil type,
has,field,field,soil type,"The type of soil present in the field, such as loamy, sandy, clay, or silt affects water retention, nutrient availability, and the types of crops that can be successfully cultivated.",,soil type,
has,field,field,size,"The size of the field, which measures the total area of the field, typically in hectares, is fundamental for crop distribution planning, while the physical layout affects water drainage and machinery suitability.",,size,
has,field,field,topography,"The topography of the field describes the physical layout of the land, including its flatness, slope, and elevation.",,topography,
uses,field,field,machinery,"Finally, a piece of machinery, such as tractors equipped with specific attachments, are used to prepare the field for planting.",machinery,,used for field preparation
involves,planting,planting,crop,"Planting represents the agricultural activity of planting crops in a specific field during a specific year, capturing the details of the process.",crop,,involves crop
results in,planting,planting,harvest,"Each planting activity results in a harvest, establishing a critical link for tracing agricultural output back to its origins, which aids in analyzing planting strategies, the impact of environmental conditions, and the overall productivity of agricultural practices.",harvest,,results in harvest
performed on,planting,planting,field,"Planting activities are performed on specific fields where it occurs, indicating the location of agricultural operations and facilitating field-specific crop management...",field,,performed on
uses,planting,planting,machinery,...a specific piece of machinery is used for planting. This links machinery like planters and some types of tractors that are specifically outfitted for or used during the planting of crops.,machinery,,used for planting
