Generated attribute,Source class,Generated original text,Matches class,Matches attribute,Matches relationship
title,research paper,a title,,title,
abstract,research paper,"an abstract, which is a brief summary of the paper",,abstract,
publication year,research paper,"a publication year, marking when it was made public",,publication year,
conference,research paper,a conference where it was presented,conference,,presented at
authors,research paper,one or more authors,author,,written by
corresponding author,research paper,"the corresponding author, who acts as the main contact point for a research paper",author,,has corresponding author
submission,research paper,a submission of a research paper,submission,,has submission
name,person,with a name,,name,
email address,person,and an email address,,email,
name,author,An author is a person involved in the reviewing process with a name,,*,
email address,author,An author is a person involved in the reviewing process with a name and an email address,,*,
institutional affiliation,author,"the author has an institutional affiliation, which tells us where they work or study",,affiliation,
corresponding author,author,"Among the authors, there's a special role known as the corresponding author",research paper,,*
name,conference,Every conference has a name,,conference name,
location,conference,a location where it's held,,location,
year,conference,and a specific year when it takes place,,year,
research paper,submission,"A submission of a research paper is a crucial stage in the research paper's life, as it represents the paper in the conference review process.",research paper,,has submission
submission date,submission,Submissions have a submission date,,submission date,
status,submission,"and a status, which tells us if it's under review, accepted, or rejected.",,status,
conference,submission,They are also connected to the conferences to which they are submitted.,conference,,submitted to
latest submission,submission,"if a research paper is resubmitted, the latest submission is the one that's considered for evaluation.",,*,
reviewers,submission,Reviewers are responsible for evaluating the quality and relevance of submissions.,reviewer,,reviewed by
review,submission,A review is linked to the submission it evaluates,review,,reviews
name,reviewer,a person that has a name,,*,
email,reviewer,a person that has a name and email,,*,
expertise area,reviewer,"the reviewer has expertise area, highlighting their specialized knowledge in which they review submissions",,expertise,
reviews,reviewer,"They write reviews, which are evaluations or critiques of research papers",review,,writes
